1	DKI Jakarta	2368	782454	0	1491	0	0	28407	30726
2	Jawa Barat	19639	4452979	0	6106	0	0	164873	157702
3	Jawa Tengah	18784	2683715	0	2196	0	0	127484	135776
4	DI Yogyakarta	1847	279958	0	97	0	0	13729	14733
5	Jawa Timur	19057	2651792	0	2468	0	0	135064	143609
6	Aceh	3513	488831	0	801	0	0	25055	29068
7	Sumatera Utara	9790	1587108	0	3521	0	0	74280	80260
8	Sumatera Barat	4245	608926	0	1034	0	0	30971	34037
9	Riau	3754	777851	0	1100	0	0	34356	37298
10	Jambi	2464	371924	0	588	0	0	18660	20925
11	Sumatera Selatan	4685	896170	0	1873	0	0	39604	40828
12	Lampung	4731	813915	0	878	0	0	37927	40445
13	Kalimantan Barat	4418	571964	0	939	0	0	30921	32733
14	Kalimantan Tengah	2639	276514	0	408	0	0	17442	19485
15	Kalimantan Selatan	2938	365957	0	536	0	0	20853	22633
16	Kalimantan Timur	1901	411321	0	668	0	0	18065	18708
17	Sulawesi Utara	2215	214539	0	607	0	0	14173	15382
18	Sulawesi Tengah	2914	306410	0	818	0	0	18811	22611
19	Sulawesi Selatan	6408	881483	0	1542	0	0	45947	48388
20	Sulawesi Tenggara	2332	292013	0	641	0	0	16287	18684
21	Maluku	1804	209328	0	802	0	0	11743	13775
22	Bali	2417	387586	0	92	0	0	17327	18214
23	Nusa Tenggara Barat	3269	511511	0	1325	0	0	23109	25102
24	Nusa Tenggara Timur	5184	682962	0	1865	0	0	36328	46191
25	Papua	2596	451559	0	1994	0	0	17866	20067
26	Bengkulu	1397	199278	0	308	0	0	10394	11672
27	Maluku Utara	1310	140056	0	684	0	0	8342	9434
28	Banten	4630	1179892	0	1205	0	0	42863	41898
29	Kepulauan Bangka Belitung	826	163694	0	287	0	0	6739	8385
30	Gorontalo	926	109501	0	403	0	0	6008	7142
31	Kepulauan Riau	968	226451	0	179	0	0	9624	10003
32	Papua Barat	1088	130617	0	589	0	0	7455	7755
33	Sulawesi Barat	1325	144640	0	346	0	0	8827	9804
34	Kalimantan Utara	481	78857	0	242	0	0	4058	4268
